"Relative","Count","SrcBytes"
"BLDA\CharFace\CH0161","18","451388"
"BLDA\CharFace\CH0162","15","565174"
"BLDA\CharFace\CH0163","13","439690"
"BLDA\CharFace\CH0164","29","871484"
"BLDA\CharFace\CH0165","40","1183902"
"BLDA\CharFace\CH0166","27","791928"
"BLDA\CharFace\CH0167","22","710674"
"BLDA\CharFace\CH0169","27","772636"
"BLDA\CharFace\CH0170","12","376214"
"BLDA\CharFace\CH0171","19","482266"
"BLDA\CharFace\CH0172","16","576128"
"BLDA\CharFace\CH0173","16","511686"
"BLDA\CharFace\CH0174","20","728774"
"BLDA\CharFace\CH0175","19","609530"
"BLDA\CharFace\CH0176","20","672042"
"BLDA\CharFace\CH0177","22","780488"
"BLDA\CharFace\CH0178","18","642006"
"BLDA\CharFace\CH0179","15","530480"
"BLDA\CharFace\CH0180","13","453506"
"BLDA\CharFace\CH0181","25","741320"
"BLDA\CharFace\CH0182","19","678124"
"BLDA\CharFace\CH0183","12","521020"
"BLDA\CharFace\CH0184","19","409362"
"BLDA\CharFace\CH0185","24","1008998"
"BLDA\CharFace\CH0186","13","445776"
"BLDA\CharFace\CH0187","11","449584"
"BLDA\CharFace\CH0188","10","384848"
"BLDA\CharFace\CH0189","21","647564"
"BLDA\CharFace\CH0190","14","431020"
"BLDA\CharFace\CH0191","17","656468"
"BLDA\CharFace\CH0192","21","697074"
"BLDA\CharFace\CH0193","18","653726"
"BLDA\CharFace\CH0194","14","486096"
"BLDA\CharFace\CH0195","13","379072"
"BLDA\CharFace\CH0196","16","610390"
"BLDA\CharFace\CH0197","14","482216"
"BLDA\CharFace\CH0198","19","673454"
"BLDA\CharFace\CH0199","12","480682"
"BLDA\CharFace\CH0200","13","465178"
"BLDA\CharFace\CH0201","15","527708"
"BLDA\CharFace\CH0202","17","586072"
"BLDA\CharFace\CH0203","14","444700"
"BLDA\CharFace\CH0204","33","741126"
"BLDA\CharFace\CH0205","24","860946"
"BLDA\CharFace\CH0209","12","431364"
"BLDA\CharFace\CH0210","16","498220"
"BLDA\CharFace\CH0211","11","399922"
"BLDA\CharFace\CH0212","33","971320"
"BLDA\CharFace\CH0213","17","653900"
"BLDA\CharFace\CH0214","13","404970"
"BLDA\CharFace\CH0215","29","976124"
"BLDA\CharFace\CH0216","33","1085338"
"BLDA\CharFace\CH0217","33","1088004"
"BLDA\CharFace\CH0218","31","984264"
"BLDA\CharFace\CH0219","12","418322"
"BLDA\CharFace\CH0220","15","455088"
"BLDA\CharFace\CH0221","14","433806"
"BLDA\CharFace\CH0222","21","386380"
"BLDA\CharFace\CH0223","33","1215318"
"BLDA\CharFace\CH0224","19","529330"
